x,y,angle,velocity,spin,velocity_action,spin_action
0, 0, 0, 0, 0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0
0.0, 0.0, 0.0, -0.0, -0.0, 0.1959192454814911, -0.0
0.0, 0.0, 0.0, 0.1959192454814911, -0.0, 0.4897978901863098, -0.0
0,0,0,0.4897978902,0,0.6238476634,0
0.1,0,0,0.6238476634,0,0.7785207629,0
0.2,0,0,0.7785207629,0,0.8610131145,0
0.3,0,0,0.8610131145,0,0.9074150324,0
0.4,0,0,0.9074150324,0,0.9538169503,0
0.5,0,0,0.9538169503,0,1.108489871,0
0.6,0,0,1.108489871,0,1.299253345,0
0.7,0,0,1.299253345,0,1.453926206,0
0.8,0,0,1.453926206,0,1.598287702,0
0.9,0,0,1.598287702,0,1.691091537,0
1,0,0,1.691091537,0,1.701403141,0
1.1,0,0,1.701403141,0,1.727181911,0
1.2,0,0,1.727181911,0,1.737493515,0
1.3,0,0,1.737493515,0,1.799362779,0
1.4,0,0,1.799362779,0,1.835453153,0
1.5,0,0,1.835453153,0,1.881854773,0
1.6,0,0,1.881854773,0,1.943724036,0
1.7,0,0,1.943724036,0,1.974658728,0
1.8,0,0,1.974658728,0,1.990126014,0
1.9,0,0,1.990126014,0,1.974658728,0
2,0,0,1.974658728,0,1.990126014,0.07218077779
2.1,0,0,1.990126014,0.07218077779,1.990126014,0.4073055685
2.2,0,0,1.990126014,0.4073055685,2.000437498,0.59291327
2.3,0,0,2.000437498,0.59291327,1.990126014,0.721807301
2.4,0,0,1.990126014,0.721807301,1.990126014,0.7733650208
2.5,0,0,1.990126014,0.7733650208,1.990126014,0.7991438508
2.6,0,0,1.990126014,0.7991438508,1.990126014,0.8146111369
2.7,0,0,1.990126014,0.8146111369,1.974658728,0.8249226809
2.8,0,0,1.974658728,0.8249226809,1.990126014,0.8919476867
2.9,0,0,1.990126014,0.8919476867,1.990126014,0.9022592306
3,0,0,1.990126014,0.9022592306,1.990126014,0.9280381203
3.1,0,0,1.990126014,0.9280381203,1.990126014,0.9177265763
3.2,0,0,1.990126014,0.9177265763,1.974658728,0.8919476867
3.3,0,0,1.974658728,0.8919476867,1.990126014,0.9177265763
3.4,0,0,1.990126014,0.9177265763,2.000437498,0.9177265763
3.5,0,0,2.000437498,0.9177265763,1.990126014,0.9022592306
3.6,0,0,1.990126014,0.9022592306,1.990126014,0.8919476867
3.7,0,0,1.990126014,0.8919476867,1.990126014,0.9177265763
3.8,0,0,1.990126014,0.9177265763,1.990126014,0.8919476867
3.9,0,0,1.990126014,0.8919476867,1.990126014,0.9177265763
4,0,0,1.990126014,0.9177265763,1.974658728,0.8764804006
4.1,0,0,1.974658728,0.8764804006,1.990126014,0.8661688566
4.2,0,0,1.990126014,0.8661688566,1.990126014,0.8403900266
4.3,0,0,1.990126014,0.8403900266,1.974658728,0.8403900266
4.4,0,0,1.974658728,0.8403900266,1.990126014,0.8403900266
4.5,0,0,1.990126014,0.8403900266,1.990126014,0.8507015705
4.6,0,0,1.990126014,0.8507015705,1.990126014,0.8764804006
4.7,0,0,1.990126014,0.8764804006,1.990126014,0.9022592306
4.8,0,0,1.990126014,0.9022592306,1.990126014,0.9022592306
4.9,0,0,1.990126014,0.9022592306,1.974658728,0.9022592306
5,0,0,1.974658728,0.9022592306,1.974658728,0.8919476867
5.1,0,0,1.974658728,0.8919476867,1.990126014,0.9022592306
5.2,0,0,1.990126014,0.9022592306,1.990126014,0.8919476867
5.3,0,0,1.990126014,0.8919476867,1.990126014,0.9022592306
5.4,0,0,1.990126014,0.9022592306,1.990126014,0.8919476867
5.5,0,0,1.990126014,0.8919476867,1.990126014,0.8919476867
5.6,0,0,1.990126014,0.8919476867,1.974658728,0.8764804006
5.7,0,0,1.974658728,0.8764804006,1.990126014,0.8919476867
5.8,0,0,1.990126014,0.8919476867,1.990126014,0.8919476867
5.9,0,0,1.990126014,0.8919476867,1.990126014,0.8764804006
6,0,0,1.990126014,0.8764804006,1.974658728,0.8661688566
6.1,0,0,1.974658728,0.8661688566,1.990126014,0.8661688566
6.2,0,0,1.990126014,0.8661688566,1.990126014,0.8661688566
6.3,0,0,1.990126014,0.8661688566,1.990126014,0.8661688566
6.4,0,0,1.990126014,0.8661688566,1.990126014,0.8764804006
6.5,0,0,1.990126014,0.8764804006,1.990126014,0.8249226809
6.6,0,0,1.990126014,0.8249226809,1.990126014,0.8146111369
6.7,0,0,1.990126014,0.8146111369,2.000437498,0.7630534768
6.8,0,0,2.000437498,0.7630534768,1.990126014,0.1237384751
6.9,0,0,1.990126014,0.1237384751,1.990126014,0
7,0,0,1.990126014,0,1.990126014,0
7.1,0,0,1.990126014,0,1.990126014,0
7.2,0,0,1.990126014,0,2.000437498,0
7.3,0,0,2.000437498,0,1.990126014,0
7.4,0,0,1.990126014,0,1.990126014,0
7.5,0,0,1.990126014,0,2.000437498,0
7.6,0,0,2.000437498,0,2.000437498,0
7.7,0,0,2.000437498,0,2.010749102,0
7.8,0,0,2.010749102,0,2.010749102,0
7.9,0,0,2.010749102,0,2.010749102,0
8,0,0,2.010749102,0,2.026216269,0
8.1,0,0,2.026216269,0,2.026216269,-0.05671324208
8.2,0,0,2.026216269,-0.05671324208,2.026216269,-0.3609038889
8.3,0,0,2.026216269,-0.3609038889,2.026216269,-0.6135363579
8.4,0,0,2.026216269,-0.6135363579,2.010749102,-0.9538167119
8.5,0,0,2.010749102,-0.9538167119,2.026216269,-1.025997519
8.6,0,0,2.026216269,-1.025997519,2.026216269,-1.319876194
8.7,0,0,2.026216269,-1.319876194,2.010749102,-1.484860778
8.8,0,0,2.010749102,-1.484860778,2.026216269,-1.598287702
8.9,0,0,2.026216269,-1.598287702,2.026216269,-1.62406683
9,0,0,2.026216269,-1.62406683,2.026216269,-1.835453153
9.1,0,0,2.026216269,-1.835453153,2.026216269,-1.948880076
9.2,0,0,2.026216269,-1.948880076,2.036527872,-1.990126252
9.3,0,0,2.036527872,-1.990126252,2.026216269,-2.000437737
9.4,0,0,2.026216269,-2.000437737,2.026216269,-2.088085651
9.5,0,0,2.026216269,-2.088085651,2.026216269,-2.10355258
9.6,0,0,2.026216269,-2.10355258,2.026216269,-2.139643192
9.7,0,0,2.026216269,-2.139643192,2.026216269,-2.129331827
9.8,0,0,2.026216269,-2.129331827,2.026216269,-2.113864183
9.9,0,0,2.026216269,-2.113864183,2.026216269,-2.113864183
10,0,0,2.026216269,-2.113864183,2.026216269,-2.113864183
10.1,0,0,2.026216269,-2.113864183,2.026216269,-2.10355258
10.2,0,0,2.026216269,-2.10355258,2.026216269,-1.928256989
10.3,0,0,2.026216269,-1.928256989,2.026216269,-1.371433854
10.4,0,0,2.026216269,-1.371433854,2.026216269,-1.005374432
10.5,0,0,2.026216269,-1.005374432,2.026216269,-0.9383496642
10.6,0,0,2.026216269,-0.9383496642,2.010749102,-0.7269632816
10.7,0,0,2.010749102,-0.7269632816,2.010749102,-0.381526947
10.8,0,0,2.010749102,-0.381526947,2.026216269,0
10.9,0,0,2.026216269,0,2.026216269,0
11,0,0,2.026216269,0,2.026216269,0
11.1,0,0,2.026216269,0,2.026216269,0
11.2,0,0,2.026216269,0,2.026216269,0
11.3,0,0,2.026216269,0,2.026216269,0
11.4,0,0,2.026216269,0,2.026216269,0
11.5,0,0,2.026216269,0,2.026216269,0
11.6,0,0,2.026216269,0,2.026216269,0.04640192538
11.7,0,0,2.026216269,0.04640192538,2.026216269,0.2010750175
11.8,0,0,2.026216269,0.2010750175,2.010749102,0.2268536389
11.9,0,0,2.010749102,0.2268536389,2.026216269,0.3196575046
12,0,0,2.026216269,0.3196575046,2.026216269,0.3299690485
12.1,0,0,2.026216269,0.3299690485,2.026216269,0.4588632882
12.2,0,0,2.026216269,0.4588632882,2.026216269,0.6547822952
12.3,0,0,2.026216269,0.6547822952,2.026216269,0.6702496409
12.4,0,0,2.026216269,0.6702496409,2.026216269,0.8146111369
12.5,0,0,2.026216269,0.8146111369,2.026216269,0.8403900266
12.6,0,0,2.026216269,0.8403900266,2.026216269,0.9280381203
12.7,0,0,2.026216269,0.9280381203,2.026216269,1.020841956
12.8,0,0,2.026216269,1.020841956,2.026216269,1.062087893
12.9,0,0,2.026216269,1.062087893,2.026216269,1.149735928
13,0,0,2.026216269,1.149735928,2.026216269,1.165203333
13.1,0,0,2.026216269,1.165203333,2.026216269,1.232228279
13.2,0,0,2.026216269,1.232228279,2.026216269,1.345655203
13.3,0,0,2.026216269,1.345655203,2.026216269,1.371434093
13.4,0,0,2.026216269,1.371434093,2.026216269,1.428147554
13.5,0,0,2.026216269,1.428147554,2.026216269,1.438459039
13.6,0,0,2.026216269,1.438459039,2.026216269,1.505483866
13.7,0,0,2.026216269,1.505483866,2.026216269,1.505483866
13.8,0,0,2.026216269,1.505483866,2.026216269,1.51579535
13.9,0,0,2.026216269,1.51579535,2.026216269,1.505483866
14,0,0,2.026216269,1.505483866,2.026216269,1.505483866
14.1,0,0,2.026216269,1.505483866,2.026216269,1.49001658
14.2,0,0,2.026216269,1.49001658,2.026216269,1.505483866
14.3,0,0,2.026216269,1.505483866,2.026216269,1.49001658
14.4,0,0,2.026216269,1.49001658,2.026216269,1.49001658
14.5,0,0,2.026216269,1.49001658,2.026216269,1.453926206
14.6,0,0,2.026216269,1.453926206,2.026216269,1.397212863
14.7,0,0,2.026216269,1.397212863,2.026216269,1.412680268
14.8,0,0,2.026216269,1.412680268,2.026216269,1.361122489
14.9,0,0,2.026216269,1.361122489,2.026216269,0.9435054064
15,0,0,2.026216269,0.9435054064,2.026216269,0.59291327
15.1,0,0,2.026216269,0.59291327,2.026216269,0.5155767202
15.2,0,0,2.026216269,0.5155767202,2.000437498,0.3557478786
15.3,0,0,2.000437498,0.3557478786,2.000437498,0.1856077015
15.4,0,0,2.000437498,0.1856077015,2.000437498,0.09795962274
15.5,0,0,2.000437498,0.09795962274,1.990126014,0.07218077779
15.6,0,0,1.990126014,0.07218077779,2.000437498,0
15.7,0,0,2.000437498,0,2.000437498,0
15.8,0,0,2.000437498,0,2.000437498,0
15.9,0,0,2.000437498,0,2.000437498,0
16,0,0,2.000437498,0,2.000437498,0
16.1,0,0,2.000437498,0,2.000437498,0.2010750175
16.2,0,0,2.000437498,0.2010750175,2.000437498,0.8146111369
16.3,0,0,2.000437498,0.8146111369,2.000437498,0.9177265763
16.4,0,0,2.000437498,0.9177265763,2.000437498,1.149735928
16.5,0,0,2.000437498,1.149735928,2.000437498,1.242539883
16.6,0,0,2.000437498,1.242539883,2.000437498,1.242539883
16.7,0,0,2.000437498,1.242539883,2.000437498,1.258007169
16.8,0,0,2.000437498,1.258007169,2.000437498,1.242539883
16.9,0,0,2.000437498,1.242539883,2.000437498,1.242539883
17,0,0,2.000437498,1.242539883,2.000437498,1.242539883
17.1,0,0,2.000437498,1.242539883,1.990126014,1.242539883
17.2,0,0,1.990126014,1.242539883,2.000437498,1.242539883
17.3,0,0,2.000437498,1.242539883,2.000437498,1.258007169
17.4,0,0,2.000437498,1.258007169,2.000437498,1.258007169
17.5,0,0,2.000437498,1.258007169,1.990126014,1.242539883
17.6,0,0,1.990126014,1.242539883,1.990126014,1.232228279
17.7,0,0,1.990126014,1.232228279,2.000437498,1.232228279
17.8,0,0,2.000437498,1.232228279,2.000437498,1.232228279
17.9,0,0,2.000437498,1.232228279,2.000437498,1.232228279
18,0,0,2.000437498,1.232228279,1.990126014,1.216760993
18.1,0,0,1.990126014,1.216760993,1.990126014,1.216760993
18.2,0,0,1.990126014,1.216760993,2.000437498,1.232228279
18.3,0,0,2.000437498,1.232228279,1.990126014,1.206449389
18.4,0,0,1.990126014,1.206449389,1.990126014,1.216760993
18.5,0,0,1.990126014,1.216760993,2.000437498,1.232228279
18.6,0,0,2.000437498,1.232228279,1.990126014,1.232228279
18.7,0,0,1.990126014,1.232228279,1.990126014,1.206449389
18.8,0,0,1.990126014,1.206449389,1.990126014,1.232228279
18.9,0,0,1.990126014,1.232228279,2.000437498,1.216760993
19,0,0,2.000437498,1.216760993,1.990126014,1.190982103
19.1,0,0,1.990126014,1.190982103,2.000437498,1.216760993
19.2,0,0,2.000437498,1.216760993,1.990126014,1.206449389
19.3,0,0,1.990126014,1.206449389,1.990126014,1.190982103
19.4,0,0,1.990126014,1.190982103,1.990126014,1.206449389
19.5,0,0,1.990126014,1.206449389,1.974658728,1.206449389
19.6,0,0,1.974658728,1.206449389,1.990126014,1.206449389
19.7,0,0,1.990126014,1.206449389,1.974658728,1.190982103
19.8,0,0,1.974658728,1.190982103,1.990126014,1.190982103
19.9,0,0,1.990126014,1.190982103,1.974658728,1.190982103
20,0,0,1.974658728,1.190982103,2.000437498,1.190982103
20.1,0,0,2.000437498,1.190982103,1.974658728,1.165203333
20.2,0,0,1.974658728,1.165203333,1.990126014,1.072399378
20.3,0,0,1.990126014,1.072399378,1.974658728,0.9692842364
20.4,0,0,1.974658728,0.9692842364,1.974658728,0.9280381203
20.5,0,0,1.974658728,0.9280381203,1.990126014,0.9280381203
20.6,0,0,1.990126014,0.9280381203,1.974658728,0.8764804006
20.7,0,0,1.974658728,0.8764804006,1.974658728,0.8764804006
20.8,0,0,1.974658728,0.8764804006,1.974658728,0.8507015705
20.9,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
21,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
21.1,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
21.2,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
21.3,0,0,1.974658728,0.8403900266,1.974658728,0.8507015705
21.4,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
21.5,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
21.6,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
21.7,0,0,1.974658728,0.8403900266,1.974658728,0.8507015705
21.8,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
21.9,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
22,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
22.1,0,0,1.974658728,0.8403900266,1.974658728,0.8507015705
22.2,0,0,1.974658728,0.8507015705,1.974658728,0.8507015705
22.3,0,0,1.974658728,0.8507015705,1.974658728,0.8507015705
22.4,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
22.5,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
22.6,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
22.7,0,0,1.974658728,0.8403900266,1.964347124,0.8507015705
22.8,0,0,1.964347124,0.8507015705,1.974658728,0.8507015705
22.9,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
23,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
23.1,0,0,1.974658728,0.8403900266,1.974658728,0.8249226809
23.2,0,0,1.974658728,0.8249226809,1.974658728,0.8403900266
23.3,0,0,1.974658728,0.8403900266,1.974658728,0.8507015705
23.4,0,0,1.974658728,0.8507015705,1.974658728,0.8403900266
23.5,0,0,1.974658728,0.8403900266,1.974658728,0.8403900266
